normalized_term,selected_source,removed_source,selected_term,removed_term
휴면보험금,금융감독원,재정경제부,휴면보험금,휴면보험금
헤지펀드,한국은행,금융감독원,헤지펀드,헤지펀드
해약환급금,금융감독원,재정경제부,해약환급금,해약환급금
할부금융,금융감독원,재정경제부,할부금융,할부금융
핀테크,한국은행,금융감독원,핀테크,핀테크
p2p대출,한국은행,금융감독원,P2P대출,P2P 대출
프로그램매매,한국은행,금융감독원,프로그램매매,프로그램매매
파생결합증권,금융감독원,재정경제부,파생결합증권,파생결합증권
크라우드펀딩,한국은행,금융감독원,크라우드펀딩,크라우드펀딩
채권추심업무,금융감독원,재정경제부,채권추심업무,채권추심업무
집단대출,한국은행,금융감독원,집단대출,집단대출
주채무계열,금융감독원,재정경제부,주채무계열,주채무계열
주식예탁증서,금융감독원,재정경제부,주식예탁증서,주식예탁증서
종합금융투자사업자,한국은행,금융감독원,종합금융투자사업자,종합금융투자사업자
조기경보시스템,금융감독원,재정경제부,조기경보시스템,조기경보시스템
적기시정조치제도,한국은행,금융감독원,적기시정조치제도,적기시정조치제도
자산유동화,한국은행,금융감독원,자산유동화,자산유동화
자금중개회사,금융감독원,재정경제부,자금중개회사,자금중개회사
인터넷전문은행,금융감독원,재정경제부,인터넷전문은행,인터넷전문은행
유사투자자문업자,금융감독원,재정경제부,유사투자자문업자,유사투자자문업자
유동성커버리지비율,한국은행,금융감독원,유동성커버리지비율,유동성커버리지비율
운영리스크,한국은행,금융감독원,운영리스크,운영리스크
외국환포지션,한국은행,금융감독원,외국환포지션,외국환포지션
완충자본,한국은행,금융감독원,완충자본,완충자본
옵션,한국은행,금융감독원,옵션,옵션
옵션,한국은행,재정경제부,옵션,옵션
영업용순자본비율,금융감독원,재정경제부,영업용순자본비율,영업용 순자본 비율
mmda,금융감독원,재정경제부,MMDA,MMDA
ic카드,한국은행,금융감독원,IC카드,IC카드
cma,금융감독원,재정경제부,CMA,CMA
신종자본증권,한국은행,금융감독원,신종자본증권,신종자본증권
신용평가,금융감독원,재정경제부,신용평가,신용평가
신용파생상품,한국은행,금융감독원,신용파생상품,신용파생상품
신용파생상품,한국은행,재정경제부,신용파생상품,신용파생상품
신용공여한도제도,금융감독원,재정경제부,신용공여한도제도,신용공여한도제도
시장리스크,한국은행,금융감독원,시장리스크,시장리스크
시스템리스크,한국은행,금융감독원,시스템 리스크,시스템리스크
시스템리스크,한국은행,재정경제부,시스템 리스크,시스템리스크
승환계약,금융감독원,재정경제부,승환계약,승환계약
스왑,한국은행,금융감독원,스왑,스왑
순안정자금조달비율,한국은행,금융감독원,순안정자금조달비율,순안정자금조달비율
수지상등의원칙,금융감독원,재정경제부,수지상등의 원칙,수지상등의 원칙
사무장병원,금융감독원,재정경제부,사무장병원,사무장병원
4차산업혁명,한국은행,금융감독원,4차 산업혁명,4차 산업혁명
bis자기자본비율,한국은행,금융감독원,BIS 자기자본비율,BIS자기자본비율
bis자기자본비율,한국은행,재정경제부,BIS 자기자본비율,BIS 자기자본비율
블록체인,한국은행,금융감독원,블록체인,블록체인
볼커룰,한국은행,금융감독원,볼커룰,볼커룰
보증보험,금융감독원,재정경제부,보증보험,보증보험
변액보험,금융감독원,재정경제부,변액보험,변액보험
방카슈랑스,한국은행,금융감독원,방카슈랑스,방카슈랑스
모집,한국은행,금융감독원,모집,모집
리스크중심감독,금융감독원,재정경제부,리스크중심감독,리스크중심감독
로보어드바이저,한국은행,금융감독원,로보어드바이저,로보어드바이저
레그테크,한국은행,금융감독원,레그테크,레그테크
대환대출,금융감독원,재정경제부,대환대출,대환대출
대차거래,금융감독원,재정경제부,대차거래,대차거래
내부등급법,한국은행,금융감독원,내부등급법,내부등급법
기업구조조정촉진법,금융감독원,재정경제부,기업구조조정촉진법,기업구조조정촉진법
기업공개,한국은행,금융감독원,기업공개,기업공개
금전신탁,한국은행,금융감독원,금전신탁,금전신탁
금전신탁,한국은행,재정경제부,금전신탁,금전신탁
금융지주회사,한국은행,금융감독원,금융지주회사,금융지주회사
금융지주회사,한국은행,재정경제부,금융지주회사,금융지주회사
금융실명제,금융감독원,재정경제부,금융실명제,금융실명제
금융분쟁조정위원회,금융감독원,재정경제부,금융분쟁조정위원회,금융분쟁조정위원회
금리인하요구권,금융감독원,재정경제부,금리인하 요구권,금리인하 요구권
국제회계기준,한국은행,금융감독원,국제회계기준,국제회계기준
국제결제은행,금융감독원,재정경제부,국제결제은행,국제결제은행
구분계리,금융감독원,재정경제부,구분계리,구분계리
과당매매,금융감독원,재정경제부,과당매매,과당매매
공시이율,금융감독원,재정경제부,공시이율,공시이율
공매도,한국은행,금융감독원,공매도,공매도
공개매수,금융감독원,재정경제부,공개매수,공개매수
고정이하여신비율,한국은행,금융감독원,고정이하여신비율,고정이하여신비율
cds프리미엄,한국은행,재정경제부,CDS프리미엄,CDS 프리미엄
ftse지수,한국은행,재정경제부,FTSE 지수,FTSE지수
gdp갭,한국은행,재정경제부,GDP갭,GDP갭
gdp디플레이터,한국은행,재정경제부,GDP디플레이터,GDP디플레이터
varvalueatrisk,한국은행,재정경제부,VaR(Value at Risk),VaR(Value at Risk)
가교은행,한국은행,재정경제부,가교은행,가교은행
가산금리,한국은행,재정경제부,가산금리,가산금리
거시건전성정책,한국은행,재정경제부,거시건전성 정책,거시 건전성 정책
경기종합지수,한국은행,재정경제부,경기종합지수,경기종합지수
경상수지,한국은행,재정경제부,경상수지,경상수지
경제성장률,한국은행,재정경제부,경제성장률,경제성장률
경제후생지표,한국은행,재정경제부,경제후생지표,경제후생지표
고용률,한국은행,재정경제부,고용률,고용률
고정금리,한국은행,재정경제부,고정금리,고정금리
구독경제,한국은행,재정경제부,구독경제,구독경제
국가신용등급,한국은행,재정경제부,국가신용등급,국가신용등급
국가채무,한국은행,재정경제부,국가채무,국가채무
국민부담률,한국은행,재정경제부,국민부담률,국민부담률
국민총소득gni,한국은행,재정경제부,국민총소득(GNI),국민총소득(GNI)
국부펀드,한국은행,재정경제부,국부펀드,국부펀드
국외순수취요소소득,한국은행,재정경제부,국외순수취요소소득,국외 순수취 요소 소득
규제샌드박스,한국은행,재정경제부,규제 샌드박스,규제 샌드박스
금리자유화,한국은행,재정경제부,금리자유화,금리 자유화
금본위제,한국은행,재정경제부,금본위제,금본위제
금산분리,한국은행,재정경제부,금산분리,금산분리
금융채,한국은행,재정경제부,금융채,금융채
금융통화위원회,한국은행,재정경제부,금융통화위원회,금융통화위원회
기저효과,한국은행,재정경제부,기저효과,기저효과
기준금리,한국은행,재정경제부,기준금리,기준금리
기회비용,한국은행,재정경제부,기회비용,기회비용
긴축정책,한국은행,재정경제부,긴축정책,긴축정책
대출금출자전환,한국은행,재정경제부,대출금 출자전환,대출금출자전환
동남아시아국가연합asean,한국은행,재정경제부,동남아시아국가연합(ASEAN),동남아시아 국가연합(ASEAN)
동아시아외환위기,한국은행,재정경제부,동아시아 외환위기,동아시아 외환위기
듀레이션,한국은행,재정경제부,듀레이션,듀레이션
디레버리징,한국은행,재정경제부,디레버리징,디레버리징
디스인플레이션,한국은행,재정경제부,디스인플레이션,디스인플레이션
디플레이션,한국은행,재정경제부,디플레이션,디플레이션
레버리지효과,한국은행,재정경제부,레버리지 효과,레버리지 효과
로렌츠곡선,한국은행,재정경제부,로렌츠곡선,로렌츠곡선
리디노미네이션,한국은행,재정경제부,리디노미네이션,리디노미네이션
마진콜,한국은행,재정경제부,마진콜,마진콜
명목금리실질금리,한국은행,재정경제부,명목금리/실질금리,명목 금리 / 실질 금리
명목소득실질소득,한국은행,재정경제부,명목소득/실질소득,명목 소득 / 실질 소득
무디스,한국은행,재정경제부,무디스,무디스
보호무역주의,한국은행,재정경제부,보호무역주의,보호무역주의
복수통화바스켓제도,한국은행,재정경제부,복수통화바스켓제도,복수통화바스켓제도
본원통화,한국은행,재정경제부,본원통화,본원통화
부가가치,한국은행,재정경제부,부가가치,부가가치
분수효과,한국은행,재정경제부,분수효과,분수 효과
불태화정책,한국은행,재정경제부,불태화정책,불태화 정책
브렉시트brexit,한국은행,재정경제부,브렉시트(Brexit),브렉시트(Brexit)
비용인상인플레이션,한국은행,재정경제부,비용인상 인플레이션,비용 인상 인플레이션
빅맥지수,한국은행,재정경제부,빅맥지수,빅맥지수
사이드카,한국은행,재정경제부,사이드카,사이드카
사회보장제도,한국은행,재정경제부,사회보장제도,사회 보장 제도
사회보험,한국은행,재정경제부,사회보험,사회보험
상계관세,한국은행,재정경제부,상계관세,상계관세
상대적빈곤율,한국은행,재정경제부,상대적 빈곤율,상대적 빈곤율
생산자물가지수ppi,한국은행,재정경제부,생산자물가지수(PPI),생산자물가지수(PPI)
서킷브레이커,한국은행,재정경제부,서킷브레이커,서킷브레이커
선물거래,한국은행,재정경제부,선물거래,선물거래
세계무역기구wto,한국은행,재정경제부,세계무역기구(WTO),세계무역기구(WTO)
세계은행worldbank,한국은행,재정경제부,세계은행(World Bank),세계은행(World Bank)
소비의비가역성,한국은행,재정경제부,소비의 비가역성,소비의 비가역성
소비자심리지수,한국은행,재정경제부,소비자심리지수,소비자심리지수
속물효과스놉효과,한국은행,재정경제부,속물효과(스놉효과),속물효과(스놉효과)
수익률곡선,한국은행,재정경제부,수익률곡선,수익률곡선
수출입물가지수,한국은행,재정경제부,수출입물가지수,수출입물가지수
수쿠크,한국은행,재정경제부,수쿠크,수쿠크
