권역코드,권역명,공시월,금융회사 코드,금융회사,금융상품 코드,상품명,저축기간(개월),금리유형 코드,금리유형명,세전 이자율,세후 이자율,세후 이자(예시),최고 우대금리,가입방법,가입제한 코드,가입 대상,이자계산방식,금융상품 문의,우대조건,만기 후 이자율,기타 유의사항,최고한도,공시 시작일,공시 종료일,금융회사 제출일,데이터 출처,수집일시
020000,은행,202607,0010001,우리은행,WR0001B,WON플러스예금,1,S,단리,2.70%,2.28%,"19,000",2.70%,"인터넷,스마트폰,전화(텔레뱅킹)",1,제한없음 (실명의 개인),단리,,해당사항 없음,만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20% ※ 만기시점 약정이율 : 일반정기예금 금리,"- 가입기간: 1~36개월 - 최소가입금액: 1만원 이상 - 만기일을 일,월 단위로 자유롭게 선택 가능 - 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,20260720,,202607221534,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010001,우리은행,WR0001B,WON플러스예금,3,S,단리,2.90%,2.45%,"61,000",2.90%,"인터넷,스마트폰,전화(텔레뱅킹)",1,제한없음 (실명의 개인),단리,,해당사항 없음,만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20% ※ 만기시점 약정이율 : 일반정기예금 금리,"- 가입기간: 1~36개월 - 최소가입금액: 1만원 이상 - 만기일을 일,월 단위로 자유롭게 선택 가능 - 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,20260720,,202607221534,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010001,우리은행,WR0001B,WON플러스예금,6,S,단리,3.00%,2.54%,"127,000",3.00%,"인터넷,스마트폰,전화(텔레뱅킹)",1,제한없음 (실명의 개인),단리,,해당사항 없음,만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20% ※ 만기시점 약정이율 : 일반정기예금 금리,"- 가입기간: 1~36개월 - 최소가입금액: 1만원 이상 - 만기일을 일,월 단위로 자유롭게 선택 가능 - 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,20260720,,202607221534,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010001,우리은행,WR0001B,WON플러스예금,12,S,단리,3.20%,2.71%,"271,000",3.20%,"인터넷,스마트폰,전화(텔레뱅킹)",1,제한없음 (실명의 개인),단리,,해당사항 없음,만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20% ※ 만기시점 약정이율 : 일반정기예금 금리,"- 가입기간: 1~36개월 - 최소가입금액: 1만원 이상 - 만기일을 일,월 단위로 자유롭게 선택 가능 - 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,20260720,,202607221534,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010001,우리은행,WR0001B,WON플러스예금,24,S,단리,2.50%,2.11%,"423,000",2.50%,"인터넷,스마트폰,전화(텔레뱅킹)",1,제한없음 (실명의 개인),단리,,해당사항 없음,만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20% ※ 만기시점 약정이율 : 일반정기예금 금리,"- 가입기간: 1~36개월 - 최소가입금액: 1만원 이상 - 만기일을 일,월 단위로 자유롭게 선택 가능 - 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,20260720,,202607221534,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010001,우리은행,WR0001B,WON플러스예금,36,S,단리,2.50%,2.11%,"634,000",2.50%,"인터넷,스마트폰,전화(텔레뱅킹)",1,제한없음 (실명의 개인),단리,,해당사항 없음,만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20% ※ 만기시점 약정이율 : 일반정기예금 금리,"- 가입기간: 1~36개월 - 최소가입금액: 1만원 이상 - 만기일을 일,월 단위로 자유롭게 선택 가능 - 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,20260720,,202607221534,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010002,한국스탠다드차타드은행,00320342,e-그린세이브예금,1,S,단리,2.20%,1.86%,"16,000",2.30%,"인터넷,스마트폰",1,제한없음 (개인(개인사업자 포함)),단리,,1.SC제일은행 최초 거래 신규고객 우대이율 제공(보너스이율0.1%) 2.만기일에 아래의 조건을 모두 충족하는 경우보너스이율 제공 -6~12개월제(만기일시지급식) 5천만원 이상 가입 -만기일 기준 전전월 마지막 영업일에 수익증권(펀드)*을 3천만원 이상 보유 (가입기간: 6개월~1년제/ 보너스이율:0.1% / 만기해약하는 경우에 한해 보너스이율을 적용함),만기 후 1개월: 약정이율의 50% 만기 후 1개월 초과 1년 이내: 약정이율의 30% 만기 후 1년 초과: 약정이율의 10%,"디지털채널 전용상품 (인터넷, 모바일뱅킹)",1000000000,20260803,99991231,202608031118,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010002,한국스탠다드차타드은행,00320342,e-그린세이브예금,3,S,단리,2.90%,2.45%,"61,000",3.00%,"인터넷,스마트폰",1,제한없음 (개인(개인사업자 포함)),단리,,1.SC제일은행 최초 거래 신규고객 우대이율 제공(보너스이율0.1%) 2.만기일에 아래의 조건을 모두 충족하는 경우보너스이율 제공 -6~12개월제(만기일시지급식) 5천만원 이상 가입 -만기일 기준 전전월 마지막 영업일에 수익증권(펀드)*을 3천만원 이상 보유 (가입기간: 6개월~1년제/ 보너스이율:0.1% / 만기해약하는 경우에 한해 보너스이율을 적용함),만기 후 1개월: 약정이율의 50% 만기 후 1개월 초과 1년 이내: 약정이율의 30% 만기 후 1년 초과: 약정이율의 10%,"디지털채널 전용상품 (인터넷, 모바일뱅킹)",1000000000,20260803,99991231,202608031118,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010002,한국스탠다드차타드은행,00320342,e-그린세이브예금,6,S,단리,3.20%,2.71%,"135,000",3.40%,"인터넷,스마트폰",1,제한없음 (개인(개인사업자 포함)),단리,,1.SC제일은행 최초 거래 신규고객 우대이율 제공(보너스이율0.1%) 2.만기일에 아래의 조건을 모두 충족하는 경우보너스이율 제공 -6~12개월제(만기일시지급식) 5천만원 이상 가입 -만기일 기준 전전월 마지막 영업일에 수익증권(펀드)*을 3천만원 이상 보유 (가입기간: 6개월~1년제/ 보너스이율:0.1% / 만기해약하는 경우에 한해 보너스이율을 적용함),만기 후 1개월: 약정이율의 50% 만기 후 1개월 초과 1년 이내: 약정이율의 30% 만기 후 1년 초과: 약정이율의 10%,"디지털채널 전용상품 (인터넷, 모바일뱅킹)",1000000000,20260803,99991231,202608031118,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010002,한국스탠다드차타드은행,00320342,e-그린세이브예금,12,S,단리,3.65%,3.09%,"309,000",3.85%,"인터넷,스마트폰",1,제한없음 (개인(개인사업자 포함)),단리,,1.SC제일은행 최초 거래 신규고객 우대이율 제공(보너스이율0.1%) 2.만기일에 아래의 조건을 모두 충족하는 경우보너스이율 제공 -6~12개월제(만기일시지급식) 5천만원 이상 가입 -만기일 기준 전전월 마지막 영업일에 수익증권(펀드)*을 3천만원 이상 보유 (가입기간: 6개월~1년제/ 보너스이율:0.1% / 만기해약하는 경우에 한해 보너스이율을 적용함),만기 후 1개월: 약정이율의 50% 만기 후 1개월 초과 1년 이내: 약정이율의 30% 만기 후 1년 초과: 약정이율의 10%,"디지털채널 전용상품 (인터넷, 모바일뱅킹)",1000000000,20260803,99991231,202608031118,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
