권역코드,권역명,공시월,금융회사 코드,금융회사,금융상품 코드,상품명,적립유형 코드,적립유형명,저축기간(개월),금리유형 코드,금리유형명,세전 이자율,세후 이자율,최고 우대금리,월 납입액(예시),세전 이자(예시),세후 이자(예시),만기 수령액(예시),가입방법,가입제한 코드,가입 대상,우대조건,만기 후 이자율,기타 유의사항,최고한도,공시 시작일,공시 종료일,금융회사 제출일,데이터 출처,수집일시
020000,은행,202607,0010001,우리은행,WR0001F,우리SUPER주거래적금,F,자유적립식,12,S,단리,2.45%,2.07%,3.85%,"100,000","15,925","13,473","1,213,473","영업점,인터넷,스마트폰,전화(텔레뱅킹)",1,제한없음 (실명의 개인),1.우리은행 입출식 계좌에서 각 항목별 실적 월 수가 계약기간의 1/2이상인 경우 가.급여/연금 이체:연 0.7%p 나.공과금 자동이체 출금: 0.3%p 다.우리카드사 신용/체크카드 결제 10만원 이상: 연 0.3%p 2.상품서비스 마케팅 동의 항목 중 전화(휴대폰) 및 SMS항목을 모두 동의 후 만기까지 유지 : 연 0.1%p 3.금리쿠폰을 적용,만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20% ※ 만기시점 약정이율 : 일반정기적금 금리,1. 가입기간 : 1년/2년/3년 2. 가입금액 : 월 50만원 이내,,20260720,,202607201125,금융감독원 금융상품한눈에 적금 Open API,2026-08-10T14:25:09
020000,은행,202607,0010001,우리은행,WR0001F,우리SUPER주거래적금,F,자유적립식,24,S,단리,2.40%,2.03%,3.80%,"100,000","60,000","50,760","2,450,760","영업점,인터넷,스마트폰,전화(텔레뱅킹)",1,제한없음 (실명의 개인),1.우리은행 입출식 계좌에서 각 항목별 실적 월 수가 계약기간의 1/2이상인 경우 가.급여/연금 이체:연 0.7%p 나.공과금 자동이체 출금: 0.3%p 다.우리카드사 신용/체크카드 결제 10만원 이상: 연 0.3%p 2.상품서비스 마케팅 동의 항목 중 전화(휴대폰) 및 SMS항목을 모두 동의 후 만기까지 유지 : 연 0.1%p 3.금리쿠폰을 적용,만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20% ※ 만기시점 약정이율 : 일반정기적금 금리,1. 가입기간 : 1년/2년/3년 2. 가입금액 : 월 50만원 이내,,20260720,,202607201125,금융감독원 금융상품한눈에 적금 Open API,2026-08-10T14:25:09
020000,은행,202607,0010001,우리은행,WR0001F,우리SUPER주거래적금,F,자유적립식,36,S,단리,2.40%,2.03%,3.80%,"100,000","133,200","112,687","3,712,687","영업점,인터넷,스마트폰,전화(텔레뱅킹)",1,제한없음 (실명의 개인),1.우리은행 입출식 계좌에서 각 항목별 실적 월 수가 계약기간의 1/2이상인 경우 가.급여/연금 이체:연 0.7%p 나.공과금 자동이체 출금: 0.3%p 다.우리카드사 신용/체크카드 결제 10만원 이상: 연 0.3%p 2.상품서비스 마케팅 동의 항목 중 전화(휴대폰) 및 SMS항목을 모두 동의 후 만기까지 유지 : 연 0.1%p 3.금리쿠폰을 적용,만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20% ※ 만기시점 약정이율 : 일반정기적금 금리,1. 가입기간 : 1년/2년/3년 2. 가입금액 : 월 50만원 이내,,20260720,,202607201125,금융감독원 금융상품한눈에 적금 Open API,2026-08-10T14:25:09
020000,은행,202607,0010001,우리은행,WR0001F,우리SUPER주거래적금,S,정액적립식,12,S,단리,2.45%,2.07%,3.85%,"100,000","15,925","13,473","1,213,473","영업점,인터넷,스마트폰,전화(텔레뱅킹)",1,제한없음 (실명의 개인),1.우리은행 입출식 계좌에서 각 항목별 실적 월 수가 계약기간의 1/2이상인 경우 가.급여/연금 이체:연 0.7%p 나.공과금 자동이체 출금: 0.3%p 다.우리카드사 신용/체크카드 결제 10만원 이상: 연 0.3%p 2.상품서비스 마케팅 동의 항목 중 전화(휴대폰) 및 SMS항목을 모두 동의 후 만기까지 유지 : 연 0.1%p 3.금리쿠폰을 적용,만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20% ※ 만기시점 약정이율 : 일반정기적금 금리,1. 가입기간 : 1년/2년/3년 2. 가입금액 : 월 50만원 이내,,20260720,,202607201125,금융감독원 금융상품한눈에 적금 Open API,2026-08-10T14:25:09
020000,은행,202607,0010001,우리은행,WR0001F,우리SUPER주거래적금,S,정액적립식,24,S,단리,2.40%,2.03%,3.80%,"100,000","60,000","50,760","2,450,760","영업점,인터넷,스마트폰,전화(텔레뱅킹)",1,제한없음 (실명의 개인),1.우리은행 입출식 계좌에서 각 항목별 실적 월 수가 계약기간의 1/2이상인 경우 가.급여/연금 이체:연 0.7%p 나.공과금 자동이체 출금: 0.3%p 다.우리카드사 신용/체크카드 결제 10만원 이상: 연 0.3%p 2.상품서비스 마케팅 동의 항목 중 전화(휴대폰) 및 SMS항목을 모두 동의 후 만기까지 유지 : 연 0.1%p 3.금리쿠폰을 적용,만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20% ※ 만기시점 약정이율 : 일반정기적금 금리,1. 가입기간 : 1년/2년/3년 2. 가입금액 : 월 50만원 이내,,20260720,,202607201125,금융감독원 금융상품한눈에 적금 Open API,2026-08-10T14:25:09
020000,은행,202607,0010001,우리은행,WR0001F,우리SUPER주거래적금,S,정액적립식,36,S,단리,2.40%,2.03%,3.80%,"100,000","133,200","112,687","3,712,687","영업점,인터넷,스마트폰,전화(텔레뱅킹)",1,제한없음 (실명의 개인),1.우리은행 입출식 계좌에서 각 항목별 실적 월 수가 계약기간의 1/2이상인 경우 가.급여/연금 이체:연 0.7%p 나.공과금 자동이체 출금: 0.3%p 다.우리카드사 신용/체크카드 결제 10만원 이상: 연 0.3%p 2.상품서비스 마케팅 동의 항목 중 전화(휴대폰) 및 SMS항목을 모두 동의 후 만기까지 유지 : 연 0.1%p 3.금리쿠폰을 적용,만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20% ※ 만기시점 약정이율 : 일반정기적금 금리,1. 가입기간 : 1년/2년/3년 2. 가입금액 : 월 50만원 이내,,20260720,,202607201125,금융감독원 금융상품한눈에 적금 Open API,2026-08-10T14:25:09
020000,은행,202607,0010001,우리은행,WR0001L,WON적금,F,자유적립식,12,S,단리,3.20%,2.71%,3.40%,"100,000","20,800","17,597","1,217,597","스마트폰,전화(텔레뱅킹)",1,제한없음 (실명의 개인),"1. 아래 각 항(가, 나)의 조건을 충족하는 경우 합산 최대 연 0.2%p 우대 가. 이 적금을 우리꿈통장, WON통장에 연결하여 가입하는 경우 : 0.1%p 나. 우리 오픈뱅킹 서비스에 타행계좌가 등록되어 있는 경우 : 연 0.1%p",만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20% ※ 만기시점 약정이율 : 일반정기적금 금리,1. 가입기간 : 1년 2. 가입금액 : 월 50만원 이내,,20260720,,202607201125,금융감독원 금융상품한눈에 적금 Open API,2026-08-10T14:25:09
020000,은행,202607,0010001,우리은행,WR0001L,WON적금,S,정액적립식,12,S,단리,3.20%,2.71%,3.40%,"100,000","20,800","17,597","1,217,597","스마트폰,전화(텔레뱅킹)",1,제한없음 (실명의 개인),"1. 아래 각 항(가, 나)의 조건을 충족하는 경우 합산 최대 연 0.2%p 우대 가. 이 적금을 우리꿈통장, WON통장에 연결하여 가입하는 경우 : 0.1%p 나. 우리 오픈뱅킹 서비스에 타행계좌가 등록되어 있는 경우 : 연 0.1%p",만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20% ※ 만기시점 약정이율 : 일반정기적금 금리,1. 가입기간 : 1년 2. 가입금액 : 월 50만원 이내,,20260720,,202607201125,금융감독원 금융상품한눈에 적금 Open API,2026-08-10T14:25:09
020000,은행,202607,0010002,한국스탠다드차타드은행,00266451,퍼스트가계적금,S,정액적립식,6,S,단리,2.40%,2.03%,2.40%,"100,000","4,200","3,553","603,553","영업점,인터넷,스마트폰",1,제한없음 (개인(개인사업자 포함)),없음,만기 후 1개월: 약정이율의 50% 만기 후 1개월 초과 1년 이내: 약정이율의 30% 만기 후 1년 초과: 약정이율의 10%,해당없음,10000000,20260720,99991231,202607201055,금융감독원 금융상품한눈에 적금 Open API,2026-08-10T14:25:09
020000,은행,202607,0010002,한국스탠다드차타드은행,00266451,퍼스트가계적금,S,정액적립식,36,S,단리,2.80%,2.37%,2.80%,"100,000","155,400","131,468","3,731,468","영업점,인터넷,스마트폰",1,제한없음 (개인(개인사업자 포함)),없음,만기 후 1개월: 약정이율의 50% 만기 후 1개월 초과 1년 이내: 약정이율의 30% 만기 후 1년 초과: 약정이율의 10%,해당없음,10000000,20260720,99991231,202607201055,금융감독원 금융상품한눈에 적금 Open API,2026-08-10T14:25:09
020000,은행,202607,0010002,한국스탠다드차타드은행,00266451,퍼스트가계적금,S,정액적립식,24,S,단리,2.75%,2.33%,2.75%,"100,000","68,750","58,162","2,458,162","영업점,인터넷,스마트폰",1,제한없음 (개인(개인사업자 포함)),없음,만기 후 1개월: 약정이율의 50% 만기 후 1개월 초과 1년 이내: 약정이율의 30% 만기 후 1년 초과: 약정이율의 10%,해당없음,10000000,20260720,99991231,202607201055,금융감독원 금융상품한눈에 적금 Open API,2026-08-10T14:25:09
